Critic/Publisher,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eigth,Ninth,Tenth
Micah Mertes,First Reformed,Minding the Gap,Eighth Grade,The Night Comes for Us,Mission: Impossible – Fallout,If Beale Street Could Talk,Support the Girls,Mandy,The Ballad of Buster Scruggs,Hereditary
Samuel R. Murrian,The Rider,Can You Ever Forgive Me?,A Star Is Born,Eighth Grade,First Reformed,The Favourite,Free Solo,Won't You Be My Neighbor?,Mission: Impossible – Fallout,Widows,You Were Never Really Here,Hereditary,Mandy,A Quiet Place
Sean Axmaker,First Reformed,The Rider,Roma,Leave No Trace,If Beale Street Could Talk,Private Life,Burning,BlacKkKlansman,Hereditary,Zama
Jim Emerson,The Ballad of Buster Scruggs,Roma,The Rider,The Sisters Brothers,If Beale Street Could Talk,Leave No Trace,Blindspotting,Hereditary,Bird Box,A Quiet Place,Eighth Grade,Mid90s,Minding the Gap,First Reformed
John Hartl,Leave No Trace,First Reformed,Fair Game,Springsteen on Broadway,Three Identical Strangers,"Love, Gilda",The Death of Stalin,A Moment in the Reeds,Sorry to Bother You,Outside In
Kathleen Murphy,Leave No Trace,First Reformed,The Ballad of Buster Scruggs,Roma,Shoplifters,Burning,You Were Never Really Here,The Rider,Support the Girls,If Beale Street Could Talk
Amie Simon,Suspiria,Revenge,Apostle,Hereditary,Mandy,Sorry to Bother You,Won't You Be My Neighbor?,Eighth Grade,"Love, Gilda",Black Panther
Andrew Wright,The Ballad of Buster Scruggs,Marlina the Murderer in Four Acts,Hereditary,Paddington 2,You Were Never Really Here,First Reformed,Roma,The Rider,Mandy,Cold War
Paste,First Reformed,Annihilation,Spider-Man: Into the Spider-Verse,Eighth Grade,Black Panther,Mission: Impossible – Fallout,Hereditary,You Were Never Really Here,Burning,The Rider
Tom Gliatto,A Star Is Born,Can You Ever Forgive Me?,Crazy Rich Asians,Green Book,Three Identical Strangers,The Favourite,Black Panther,Paddington 2,BlacKkKlansman,A Quiet Place
Oktay Ege Kozak,You Were Never Really Here,Eighth Grade,Blindspotting,Roma,Spider-Man: Into the Spider-Verse,The Favourite,Hereditary,How to Talk to Girls at Parties,Annihilation,Isle of Dogs
Kimber Myers,Annihilation,You Were Never Really Here,Paddington 2,The Favourite,Wildlife,Leave No Trace,If Beale Street Could Talk,Can You Ever Forgive Me?,Shoplifters,Widows
Ryan Oliver,You Were Never Really Here,The Favourite,Mandy,Foxtrot,Burning,Suspiria,Wildlife,Roma,Blindspotting,Isle of Dogs
Jordan Ruimy,Burning,The Favourite,Roma,Cold War,The Tale,Custody,Leave No Trace,Eighth Grade,BlacKkKlansman,Hereditary
PopCulture.com,Paddington 2,Spider-Man: Into the Spider-Verse,Black Panther,A Quiet Place,Widows,Hereditary,Incredibles 2,Mission: Impossible – Fallout,Avengers: Infinity War,A Star Is Born
James Berardinelli,Shoplifters,Leave No Trace,Roma,Eighth Grade,Black Panther,Avengers: Infinity War,A Quiet Place,The Hate U Give,Private Life,If Beale Street Could Talk
Tyler Daswick,Black Panther,First Reformed,Roma,Eighth Grade,Widows,Minding the Gap,Spider-Man: Into the Spider-Verse,Annihilation,A Quiet Place,Crazy Rich Asians
Reverse Shot,Zama,Let the Sunshine In,If Beale Street Could Talk,Burning,Happy as Lazzaro,First Reformed,The Ballad of Buster Scruggs,Western,Roma,"Hale County This Morning, This Evening"
Sean Fennessey and Adam Nayman,Burning,Minding the Gap,Roma,Zama,Black Panther,First Reformed,Let the Sunshine In,Annihilation,Support the Girls,If Beale Street Could Talk
Simon Abrams,Bisbee '17,Sorry to Bother You,The Ballad of Buster Scruggs,Pow Wow,24 Frames,Bodied,Shoplifters,The Guardians,Have a Nice Day,Jeannette: The Childhood of Joan of Arc
Nick Allen,Hereditary,Shirkers,Madeline's Madeline,Leave No Trace,Mandy,Cold War,Makala,John McEnroe: In the Realm of Perfection,Searching,Bird Box
Monica Castillo,Roma,Can You Ever Forgive Me?,Cold War,Shirkers,Shoplifters,Private Life,Sorry to Bother You,Zama,The Ballad of Buster Scruggs,Annihilation
Godfrey Cheshire,Roma,The Rider,Western,First Reformed,A Bread Factory: Parts One and Two,24 Frames,Green Book,Vice,En el Septimo Dia,Crime + Punishment
Seongyong Cho,Roma,Shoplifters,Leave No Trace,First Reformed,Private Life,The Rider,Cold War,BlacKkKlansman,Hereditary,Annihilation
Mark Dujsik,Shoplifters,The Death of Stalin,First Man,Paddington 2,Eighth Grade,You Were Never Really Here,BlacKkKlansman,First Reformed,If Beale Street Could Talk,Blindspotting
Matt Fagerholm,Eighth Grade,Minding the Gap,Roma,First Reformed,Muppet Guys Talking,Leave No Trace,Custody,The Tale,Life and Nothing More,Mary Poppins Returns
Odie Henderson,Blindspotting,If Beale Street Could Talk,BlacKkKlansman,Black Panther,Amazing Grace,Paddington 2,Roma,Leave No Trace,Spider-Man: Into the Spider-Verse,I Am Not a Witch
Quinn Hough,The Ballad of Buster Scruggs,Hereditary,Mandy,Leave No Trace,BlacKkKlansman,A Star Is Born,You Were Never Really Here,Cam,Madeline's Madeline,The Other Side of the Wind
Ben Kenigsberg,Roma,The Other Side of the Wind,Did You Wonder Who Fired the Gun?,Support the Girls,Classical Period,You Were Never Really Here,Thoroughbreds,Western,The Favourite,"Monrovia, Indiana"
Glenn Kenny,Zama,The Ballad of Buster Scruggs,The Other Side of the Wind,Mandy,"Hale County This Morning, This Evening",Shirkers,Madeline's Madeline,Skate Kitchen,Support the Girls,(tie) Sorry to Bother You,(tie) Jeannette: The Childhood of Joan of Arc
Tomris Laffly,Roma,You Were Never Really Here,Burning,Private Life,First Man,Cold War,Can You Ever Forgive Me?,Custody,1985,Hereditary
Christy Lemire,The Favourite,Roma,Burning,First Reformed,Suspiria,Sorry to Bother You,Eighth Grade,Hereditary,Support the Girls,A Star Is Born
Violet Levoit,Ant-Man and the Wasp,Shoplifters,Wild Wild Country,Mister Rogers: It's You I Like,Tully,BlacKkKlansman,Avengers: Infinity War,McQueen,The Ballad of Buster Scruggs,Black Panther
Kristen Lopez,Blindspotting,On the Basis of Sex,Bad Times at the El Royale,A Simple Favor,The Favourite,Widows,Black Panther,Hereditary,A Quiet Place,Sorry to Bother You
Omer Mozaffar,Blindspotting,Searching,BlacKkKlansman,Annihilation,Crazy Rich Asians,Black Panther,A Quiet Place,Mission: Impossible – Fallout,Widows,The Hate U Give
Vikram Murthi,First Reformed,Support the Girls,The Other Side of the Wind,Burning,Private Life,Shirkers,Amazing Grace,The Ballad of Buster Scruggs,Cold War,Can You Ever Forgive Me?
Max O'Connell,First Reformed,Burning,The Other Side of the Wind,Madeline's Madeline,Zama,BlacKkKlansman,You Were Never Really Here,Support the Girls,Roma,Lean on Pete
Sheila O'Malley,First Reformed,Roma,BlacKkKlansman,Shirkers,Shoplifters,The Rider,Mandy,A Star Is Born,Eighth Grade,The Other Side of the Wind
Michal Oleszczyk,The Other Side of the Wind,Dogman,Roma,The Last Family,Won't You Be My Neighbor?,Summer 1993,McQueen,Dovlatov,Shirkers,The Death of Stalin
Kristy Puchko,Can You Ever Forgive Me?,The Favourite,Paddington 2,The Little Stranger,Spider-Man: Into the Spider-Verse,Border,Eighth Grade,Hereditary,American Animals,A Wrinkle in Time
Matt Zoller Seitz,"A Bread Factory, Part 1: For the Sake of Gold","A Bread Factory, Part 2: Walk With Me A While",Annihilation,Sorry to Bother You,Private Life,Shoah: Four Sisters,The Ballad of Buster Scruggs,Hereditary,Searching,Minding the Gap,Bodied
Allison Shoemaker,Eighth Grade,The Favourite,Roma,Annihilation,Shoplifters,If Beale Street Could Talk,Leave No Trace,Madeline's Madeline,Paddington 2,Shirkers
Justine Smith,First Reformed,Padmaavat,Genèse,Annihilation,Hereditary,Cam,Black Mother,Profile,The Rider,Birds of Passage
Peter Sobczynski,Annihilation,Madeline's Madeline,First Reformed,The Ballad of Buster Scruggs,Roma,Cold War,The Favourite,BlacKkKlansman,Mandy,A Simple Favor
Collin Souter,Roma,Blindspotting,The Death of Stalin,Eighth Grade,Spider-Man: Into the Spider-Verse,Lean on Pete,Hereditary,BlacKkKlansman,Minding the Gap,Paddington 2
Scout Tafoya,Black Mother,Personal Problems,Widows,24 Frames,Barbara,Piu Piu,The Ballad of Buster Scruggs,High Life,Scarred Hearts,First Reformed
Brian Tallerico,Roma,If Beale Street Could Talk,Leave No Trace,Burning,Widows,The Ballad of Buster Scruggs,Annihilation,Shoplifters,You Were Never Really Here,Sorry to Bother You
David Fear,Roma,Hereditary,First Reformed,Eighth Grade,Support the Girls,Amazing Grace,The Rider,Cold War,The Old Man & The Gun,Zama
Peter Travers,Roma,A Star Is Born,Black Panther,The Favourite,BlacKkKlansman,If Beale Street Could Talk,First Man,First Reformed,Eighth Grade,Green Book
Scott Renshaw,First Reformed,Burning,Paddington 2,Eighth Grade,Free Solo,You Were Never Really Here,If Beale Street Could Talk,Leave No Trace,The Favourite,The Ballad of Buster Scruggs
Sean P. Means,Sorry to Bother You,Roma,Spider-Man: Into the Spider-Verse,Black Panther,Minding the Gap,Paddington 2,The Hate U Give,Incredibles 2,Eighth Grade,Crazy Rich Asians
Kiko Martinez,Vice,Roma,Leave No Trace,Can You Ever Forgive Me?,Private Life,The Favourite,At Eternity's Gate,The Rider,First Reformed,You Were Never Really Here
Glenn Heath Jr.,Zama,Lean on Pete,El Mar la Mar,A Bread Factory: Parts One and Two,24 Frames,Bisbee '17,First Reformed,Western,If Beale Street Could Talk,Araby
Jeffrey M. Anderson,Roma,BlacKkKlansman,First Reformed,The Other Side of the Wind,24 Frames,Let the Sunshine In,Black Panther,You Were Never Really Here,The Ballad of Buster Scruggs,Spider-Man: Into the Spider-Verse
Anita Katz,Roma,If Beale Street Could Talk,Shoplifters,First Reformed,Cold War,Leave No Trace,BlacKkKlansman,The Sisters Brothers,The Favourite,1945
Randy Myers,The Rider,Roma,Blindspotting,The Favourite,First Reformed,Leave No Trace,If Beale Street Could Talk,The Hate U Give,Burning,Black Panther
Martyn Conterio,You Were Never Really Here,Leave No Trace,Phantom Thread,First Reformed,The Wild Pear Tree,An Elephant Sitting Still,Sweet Country,Coco,Cold War,Dead Souls
Screen Anarchy,Roma,The Favourite,BlacKkKlansman,You Were Never Really Here,Sorry to Bother You,Mandy,Annihilation,Hereditary,One Cut of the Dead,Phantom Thread,Shoplifters
Matt Singer,The Favourite,Private Life,Annihilation,Mission: Impossible – Fallout,The Rider,Roma,First Man,Eighth Grade,Minding the Gap,Widows
Screen Rant,Mission: Impossible – Fallout,Spider-Man: Into the Spider-Verse,Annihilation,Black Panther,Venom,A Quiet Place,Bumblebee,Eighth Grade,Widows,Upgrade
Robert Horton,The Rider,Support the Girls,The Ballad of Buster Scruggs,Lean on Pete,First Reformed,Roma,Hereditary,Zama,Leave No Trace,You Were Never Really Here,First Man
Sherilyn Connelly,Sorry to Bother You,Incredibles 2,Star,Oh Lucy!,24 Frames,Damsel,Annihilation,Hearts Beat Loud,306 Hollywood,The Other Side of the Wind
Daniel Barnes,First Reformed,Mandy,The Favourite,You Were Never Really Here,Isle of Dogs,Madeline's Madeline,Cold War,The Death of Stalin,Burning,Mission: Impossible – Fallout
Bruce R. Miller,Roma,A Star Is Born,The Favourite,BlacKkKlansman,First Man,Vice,If Beale Street Could Talk,Can You Ever Forgive Me?,Black Panther,Won't You Be My Neighbor?
Chuck Bowen,"Monrovia, Indiana",First Reformed,The Other Side of the Wind,Bisbee '17,Zama,Golden Exits,The Ballad of Buster Scruggs,Claire's Camera,Can You Ever Forgive Me?,Let the Sunshine In
Pat Brown,Burning,Bisbee '17,First Reformed,Shoah: Four Sisters,The Favourite,24 Frames,Cold War,Let the Sunshine In,Western,If Beale Street Could Talk
Jake Cole,Milla,24 Frames,First Reformed,Zama,Burning,The Day After,Prototype,If Beale Street Could Talk,Madeline's Madeline,Let the Sunshine In
Greg Cwik,The Other Side of the Wind,First Reformed,The House That Jack Built,Prototype,Golden Exits,The Favourite,Let the Sunshine In,"Monrovia, Indiana",Claire's Camera,Shoplifters
Clayton Dillard,Burning,The House That Jack Built,First Reformed,Mrs. Hyde,Before We Vanish,Jeannette: The Childhood of Joan of Arc,Western,Tyrel,El Mar La Mar,Bodied
Peter Goldberg,Zama,First Reformed,Dead Souls,If Beale Street Could Talk,The Other Side of the Wind,24 Frames,Milla,Minding the Gap,Support the Girls,A Bread Factory: Parts One and Two
Ed Gonzalez,First Reformed,BlacKkKlansman,Did You Wonder Who Fired the Gun?,Bisbee '17,"Monrovia, Indiana",Paddington 2,Bodied,The Day After,The Green Fog,Let the Sunshine In
Christopher Gray,Let the Sunshine In,First Man,First Reformed,Zama,If Beale Street Could Talk,Minding the Gap,Bisbee '17,The Rider,Western,Leave No Trace
Wes Greene,Bisbee '17,Amazing Grace,Araby,A Bread Factory: Parts One and Two,The Ballad of Buster Scruggs,Support the Girls,The Green Fog,First Reformed,Happy as Lazzaro,Roma
Carson Lund,Let the Sunshine In,24 Frames,"Monrovia, Indiana",First Reformed,The Other Side of the Wind,El Mar La Mar,Did You Wonder Who Fired the Gun?,Shoplifters,"Hale County This Morning, This Evening",Unfriended: Dark Web
Sam C. Mac,The House That Jack Built,Dead Souls,Blind Detective,Golden Exits,Prototype,Isle of Dogs,A Star Is Born,The Other Side of the Wind,Shoplifters,Support the Girls
Paul O’Callaghan,Roma,First Reformed,Burning,Custody,Leave No Trace,Madeline's Madeline,You Were Never Really Here,Shoplifters,Sorry to Bother You,Vox Lux
Niles Schwartz,First Reformed,The Ballad of Buster Scruggs,Burning,The Other Side of the Wind,Let the Sunshine In,Zama,Can You Ever Forgive Me?,Unsane,The Rider,Roma
Diego Semerene,Shoah: Four Sisters,24 Frames,Happy as Lazzaro,Burning,Western,Loveless,Caniba,The House That Jack Built,Of Fathers and Sons,Vice
A.J. Serrano,Mandy,First Reformed,The Rider,If Beale Street Could Talk,"Hale County This Morning, This Evening",The Other Side of the Wind,Paddington 2,Burning,Roma,The Ballad of Buster Scruggs
Derek Smith,First Reformed,Zama,Burning,If Beale Street Could Talk,BlacKkKlansman,Prototype,El Mar La Mar,November,The House That Jack Built,Let the Corpses Tan
Keith Watson,The Other Side of the Wind,Paddington 2,The House That Jack Built,Caniba,Support the Girls,Madeline's Madeline,Jeannette: The Childhood of Joan of Arc,The Death of Stalin,First Reformed,Let the Corpses Tan
Ethan Anderton,If Beale Street Could Talk,Roma,Spider-Man: Into the Spider-Verse,BlacKkKlansman,Vice,Mission: Impossible – Fallout,First Man,Annihilation,Game Night,Avengers: Infinity War
Hoai-Tran Bui,Shoplifters,You Were Never Really Here,The Favourite,Paddington 2,Roma,Eighth Grade,Spider-Man: Into the Spider-Verse,Burning,Blindspotting,Minding the Gap
Jeff Cannata,Spider-Man: Into the Spider-Verse,Bad Times at the El Royale,Game Night,Won't You Be My Neighbor?,Minding the Gap,Avengers: Infinity War,Searching,Blindspotting,The Favourite,Roma
David Chen,The Favourite,The Rider,Private Life,Roma,Spider-Man: Into the Spider-Verse,Minding the Gap,Free Solo,Mission: Impossible – Fallout,Paddington 2,Eighth Grade
Chris Evangelista,First Reformed,Roma,You Were Never Really Here,If Beale Street Could Talk,Annihilation,Mandy,Destroyer,The Favourite,Hereditary,Blindspotting
Jacob Hall,Mandy,Spider-Man: Into the Spider-Verse,Suspiria,Annihilation,Hereditary,The Favourite,Blindspotting,If Beale Street Could Talk,Can You Ever Forgive Me?,Mission: Impossible – Fallout
Devindra Hardawar,Roma,Black Panther,Annihilation,If Beale Street Could Talk,Mission: Impossible – Fallout,First Reformed,Blindspotting,Widows,Spider-Man: Into the Spider-Verse,The Rider
Ben Pearson,Annihilation,Spider-Man: Into the Spider-Verse,If Beale Street Could Talk,Searching,Mission: Impossible – Fallout,Hereditary,Sorry to Bother You,Blindspotting,First Reformed,A Quiet Place
Peter Sciretta,Spider-Man: Into the Spider-Verse,Eighth Grade,Searching,Mission: Impossible – Fallout,Avengers: Infinity War,Minding the Gap,Annihilation,Roma,Love Simon,Bumblebee
Smashcut,First Reformed,Roma,Zama,24 Frames,Burning,The Favourite,"Hale County This Morning, This Evening",Vice,The Other Side of the Wind,November
Chris Hewitt,Paddington 2,Roma,Spider-Man: Into the Spider-Verse,Shoplifters,At Eternity's Gate,Creed II,Won't You Be My Neighbor?,You Were Never Really Here,Annihilation,Game Night
Sydney Morning Herald,Roma,Sweet Country,"Three Billboards Outside Ebbing, Missouri",You Were Never Really Here,Leave No Trace,Blackkklansman,The Favourite,Shoplifters,Foxtrot,Phantom Thread
Mark Hinson,Annihilation,Can You Ever Forgive Me?,The Ballad of Buster Scruggs,The Favourite,Final Portrait,Upgrade,"Don't Worry, He Won't Get Far on Foot",The Sisters Brothers,Suspiria,First Reformed,The Death of Stalin
Shane Scott-Travis,First Reformed,Roma,Eighth Grade,Capernaum,Suspiria,Leave No Trace,The Rider,You Were Never Really Here,Zama,Cold War
Robbie Collin,Roma,Phantom Thread,A Star Is Born,Suspiria,Shoplifters,You Were Never Really Here,The Other Side of the Wind,A Gentle Creature,Hereditary,Ryuichi Sakamoto: Coda
Tom Shone,Roma,The Death of Stalin,Widows,"Juliet, Naked",First Man,A Star Is Born,A Quiet Place,The Favourite,You Were Never Really Here,Crazy Rich Asians
Stephanie Zacharek,Roma,Won't You Be My Neighbor?,First Reformed,Eighth Grade,The Favourite,Can You Ever Forgive Me?,A Star Is Born,If Beale Street Could Talk,Bohemian Rhapsody,Paddington 2
Time Out London,You Were Never Really Here,Widows,Phantom Thread,Hereditary,Roma,Mission: Impossible – Fallout,Cold War,"Three Billboards Outside Ebbing, Missouri",Loveless,Lady Bird
Joshua Rothkopf,Hereditary,Burning,Widows,Suspiria,The Death of Stalin,Bisbee '17,Private Life,Happy as Lazzaro,Shoplifters,Support the Girls
Kirk Baird,Roma,Black Panther,Crazy Rich Asians,Spider-Man: Into the Spider-Verse,Teen Titans Go! To the Movies,Eighth Grade,First Reformed,First Man,Vice,If Beale Street Could Talk,A Star Is Born,The Old Man & The Gun
Peter Howell,Roma,Burning,Capernaum,Green Book,Anthropocene: The Human Epoch,Black Panther,First Reformed,BlacKkKlansman,The Favourite,Sorry to Bother You
Total Film Magazine,Avengers: Infinity War,Hereditary,Phantom Thread,Mission: Impossible – Fallout,Roma,Lady Bird,"Three Billboards Outside Ebbing, Missouri",Black Panther,A Quiet Place,The Shape of Water
Michael Smith,Roma,The Favourite,The Rider,The Hate U Give,Black Panther,BlacKkKlansman,Tully,Leave No Trace,A Star Is Born,Game Night
Uproxx,Sorry to Bother You,Roma,Eighth Grade,A Star Is Born,Private Life,Black Panther,Mission: Impossible – Fallout,Spider-Man: Into the Spider-Verse,Paddington 2,First Man
Mara Reinstein,Eighth Grade,Green Book,Won't You Be My Neighbor?,The Favourite,Roma,First Man,Can You Ever Forgive Me?,Widows,Bohemian Rhapsody,A Quiet Place
Brian Truitt,Black Panther,A Star Is Born,BlacKkKlansman,The Favourite,First Reformed,Spider-Man: Into the Spider-Verse,Cold War,Three Identical Strangers,Crazy Rich Asians,Hereditary
K. Austin Collins,First Reformed,Did You Wonder Who Fired the Gun?,You Were Never Really Here,If Beale Street Could Talk,The Ballad of Buster Scruggs,The Other Side of the Wind,Minding the Gap,Zama,First Man,Sollers Point
Richard Lawson,Roma,Leave No Trace,Can You Ever Forgive Me?,Free Solo,Shoplifters,The Favourite,Mission: Impossible – Fallout,A Star Is Born,Happy as Lazzaro,Mamma Mia! Here We Go Again
Peter Debruge,Blindspotting,A Star Is Born,Shoplifters,The Hate U Give,Eighth Grade,Museo,Life and Nothing More,Mission: Impossible – Fallout,Burning,In Syria
Owen Gleiberman,A Star Is Born,Won't You Be My Neighbor?,The Rider,Green Book,Chappaquiddick,Red Sparrow,If Beale Street Could Talk,First Man,Wild Wild Country,Eighth Grade
Mal Vincent,Roma,The Green Book,A Quiet Place,Lean on Pete,Isle of Dogs,Black Panther,The Favourite,Mary Poppins Returns,Pick of the Litter,The Ballad of Buster Scruggs
John Powers,(tie) Burning,(tie) Roma,Shoplifters,Zama,Happy as Lazzaro,The Ballad of Buster Scruggs,The Favourite,Lean on Pete,Leave No Trace,Blindspotting
Alissa Wilkinson,Cold War,Minding the Gap,Bisbee '17,First Reformed,Amazing Grace,Leave No Trace,Support the Girls,"Hale County This Morning, This Evening",Eighth Grade,Burning
David Edelstein,Roma,Eighth Grade,First Reformed,The Rider,Sorry to Bother You,Won't You Be My Neighbor?,The Ballad of Buster Scruggs,Private Life,Fahrenheit 11/9,Leave No Trace
Emily Yoshida,Roma,First Reformed,Shirkers,Suspiria,The Rider,Eighth Grade,Shoplifters,Sorry to Bother You,Have a Nice Day,A Star Is Born
Ann Hornaday,Roma,If Beale Street Could Talk,The Rider,First Reformed,BlacKkKlansman,Green Book,Eighth Grade,Tully,Blindspotting,A Quiet Place
We Are Movie Geeks,Roma,First Reformed,BlacKkKlansman,The Favourite,Won't You Be My Neighbor?,Green Book,Vice,You Were Never Really Here,Widows,A Quiet Place
Luke Parker,Won't You Be My Neighbor?,Isle of Dogs,Sorry to Bother You,The Ballad of Buster Scruggs,Mission: Impossible – Fallout,A Star Is Born,Mary Poppins Returns,A Quiet Place,The Death of Stalin,Bohemian Rhapsody
Alan Scherstuhl,Amazing Grace,Roma,"Hale County This Morning, This Evening",The Rider,Burning,Blindspotting,Spider-Man: Into the Spider-Verse,If Beale Street Could Talk,Leave No Trace,The Favourite
WhatCulture,Hereditary,Spider-Man: Into the Spider-Verse,BlacKkKlansman,Eighth Grade,Avengers: Infinity War,Roma,Leave No Trace,First Man,Annihilation,Mandy
Michael Glover Smith,The Other Side of the Wind,Zama,The Mule,Phantom Thread,Burning,24 Frames,Madeline's Madeline,Ash Is Purest White,First Reformed,The Woman Who Left
Rod Pocowatchit,A Quiet Place,Ready Player One,Black Panther,A Star Is Born,Green Book,Eighth Grade,BlacKkKlansman,The Ballad of Buster Scruggs,Bad Times at the El Royale,Won't You Be My Neighbor?
Alonso Duralde,Paddington 2,Roma,Leave No Trace,Lean on Pete,The Sisters Brothers,The Other Side of the Wind,The Hate U Give,If Beale Street Could Talk,Happy as Lazzaro,Support the Girls,Eighth Grade
Yahoo Movies,Roma,Black Panther,A Star Is Born,Can You Ever Forgive Me?,Mission: Impossible – Fallout,If Beale Street Could Talk,Spider-Man: Into the Spider-Verse,Leave No Trace,Widows,Won't You Be My Neighbor?
Hanna Flint,Mission: Impossible – Fallout,Roma,Phantom Thread,Avengers: Infinity War,Shoplifters,Annihilation,A Quiet Place,"Three Billboards Outside Ebbing, Missouri",Coco,They Shall Not Grow Old
The Young Folks,Roma,Eighth Grade,Hereditary,Annihilation,You Were Never Really Here,Widows,If Beale Street Could Talk,Shoplifters,BlacKkKlansman,Burning
Joe Robberson,BlacKkKlansman,The Favourite,Roma,First Reformed,You Were Never Really Here,Mandy,The Rider,Widows,Madeline's Madeline,A Star Is Born
