Critic/Publisher,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eigth,Ninth,Tenth
Monica Castillo,Lovers Rock,Bacurau,"Bloody Nose, Empty Pockets",Collective,The Vast of Night,The Assistant,Wolfwalkers,Mucho Mucho Amor,Never Rarely Sometimes Always,I'm No Longer Here
Godfrey Cheshire,David Byrne's American Utopia,Beanpole,Born to Be,Sorry We Missed You,First Cow,Young Ahmed,City Hall,Nomadland,Da 5 Bloods,Desert One
Seongyong Cho,First Cow,House of Hummingbird,Never Rarely Sometimes Always,Da 5 Bloods,Beanpole,Sorry We Missed You,Los Lobos,Babyteeth,Driveways,Sound of Metal
Robert Daniels,David Byrne's American Utopia,Nomadland,One Night in Miami,First Cow,Night of the Kings,Martin Eden,I'm Thinking of Ending Things,Minari,Lovers Rock,Time
Mark Dujsik,"Bloody Nose, Empty Pockets",The Invisible Man,Sorry We Missed You,Nomadland,Hamilton,I'm Thinking of Ending Things,The Father,Minari,Corpus Christi,Wolfwalkers
Matt Fagerholm,Lovers Rock,Mangrove,I'm Thinking of Ending Things,Beanpole,Rewind,Nomadland,Beyond the Visible - Hilma af Klint,The Assistant,Finding Yingying,The Father
Isaac Feldberg,Possessor Uncut,First Cow,La Llorona,I'm Thinking of Ending Things,Residue,Minari,The Invisible Man,Relic,Driveways,The Dark and the Wicked
Michael Frank,Minari,First Cow,Nomadland,Dick Johnson Is Dead,Da 5 Bloods,Beginning,Never Rarely Sometimes Always,Another Round,I'm Thinking of Ending Things,Shithouse
Roxana Hadadi,Saint Frances,Sound of Metal,Minari,Driveways,First Cow,Miss Juneteenth,True History of the Kelly Gang,The Assistant,His House,"Red, White and Blue"
Odie Henderson,David Byrne's American Utopia,Da 5 Bloods,Lovers Rock,Nomadland,Hamilton,Ma Rainey's Black Bottom,His House,Time,The Old Guard,The Truth
Brendan Hodges,Da 5 Bloods,First Cow,I'm Thinking of Ending Things,Mank,Beanpole,Mangrove,Tenet,Lovers Rock,The Assistant,Emma
Soren Hough,Farewell Amor,The Salt in Our Waters,Mogul Mowgli,Wolfwalkers,Herself,Mangrove,Borat Subsequent Moviefilm,African Apocalypse,Da 5 Bloods,Another Round
Glenn Kenny,Vitalina Varela,First Cow,She Dies Tomorrow,The Wolf House,Shirley,Joan of Arc,Wasp Network,Cut Throat City,Residue,Possessor Uncut
Jonah Koslofsky,I'm Thinking of Ending Things,The Assistant,She Dies Tomorrow,Palm Springs,First Cow,Lovers Rock,The Invisible Man,Da 5 Bloods,Nomadland,His House
Tomris Laffly,The Assistant,Lovers Rock,Promising Young Woman,The Invisible Man,Martin Eden,Nomadland,The Wolf House,The Nest,Mayor,Crip Camp
Christy Lemire,David Byrne's American Utopia,The Nest,Sound of Metal,Lovers Rock,Minari,First Cow,Nomadland,The Killing of Kenneth Chamberlain,Promising Young Woman,Collective
Mary Beth McAndrews,Possessor Uncut,Relic,The Dark and the Wicked,She Dies Tomorrow,Never Rarely Sometimes Always,Host,Shirley,Sound of Metal,Swallow,Murder Death Koreatown
Max O'Connell,Vitalina Varela,Martin Eden,First Cow,"Bloody Nose, Empty Pockets",Bacurau,Da 5 Bloods,Lovers Rock,Fourteen,Fire Will Come,Tesla
Kristy Puchko,Promising Young Woman,Eurovision: The Story of Fire Saga,Swallow,The Painter and the Thief,Wolfwalkers,First Cow,Never Rarely Sometimes Always,Sound of Metal,One Night in Miami,Nomadland
Marshall Shaffer,The Assistant,Boys State,Never Rarely Sometimes Always,Driveways,Palm Springs,Dick Johnson Is Dead,Time,City Hall,Soul,Gunda
Justine Smith,DAU. Natasha,City Hall,The Metamorphosis of Birds,Mon amour,Inventing the Future,Nomadland,"This Is Not a Burial, It's a Resurrection",Siberia,It Must Be Heaven,The Assistant
Peter Sobczynski,On the Rocks,Never Rarely Sometimes Always,Spontaneous,Lovers Rock,First Cow,Nomad: In the Footsteps of Bruce Chatwin,City Hall,The Vast of Night,David Byrne's American Utopia,Nomadland
Collin Souter,Nomadland,David Byrne's American Utopia,Soul,Wolfwalkers,Sorry We Missed You,Boys State,Da 5 Bloods,Palm Springs,First Cow,The Vast of Night
Scout Tafoya,About Endlessness,It Must Be Heaven,The Amusement Park,Tesla,Lovers Rock,City Hall,Her Socialist Smile,Wolfwalkers,Night of the Kings,His House
Brian Tallerico,Nomadland,Da 5 Bloods,Lovers Rock,Beanpole,Never Rarely Sometimes Always,David Byrne's American Utopia,The Nest,She Dies Tomorrow,I'm Thinking of Ending Things,Time
Shea Vassar,Beans,Yes God Yes,Summer of '85,Little Chief,Emma,Host,I'm Thinking of Ending Things,Blood Quantum,One Night in Miami,The Best Is Yet to Come
Matt Zoller Seitz,"Bloody Nose, Empty Pockets",Tommaso,Marona's Fantastic Tale,First Cow,The Nest,Bacurau,David Byrne's American Utopia,Lovers Rock,Sorry We Missed You,Cut Throat City
K. Austin Collins,Never Rarely Sometimes Always,Time,Vitalina Varela,Fire Will Come,"Bloody Nose, Empty Pockets","Red, White and Blue",City Hall,Lovers Rock,Fourteen,First Cow,Residue
David Fear,Collective,Lovers Rock,David Byrne's American Utopia,First Cow,Bacurau,Time,Minari,Dick Johnson Is Dead,Martin Eden,Nomadland
Scott Renshaw,Dick Johnson Is Dead,First Cow,I'm Thinking of Ending Things,Wolfwalkers,Another Round,Fourteen,Collective,She Dies Tomorrow,David Byrne's American Utopia,Never Rarely Sometimes Always
Sean P. Means,I'm Thinking of Ending Things,Soul,Aviva,Nomadland,Sylvie's Love,Hamilton,The Climb,Kajillionaire,The Trial of the Chicago 7,Dick Johnson Is Dead
Kiko Martinez,Minari,Never Rarely Sometimes Always,The Trial of the Chicago 7,Sound of Metal,La Llorona,The Assistant,The Painted Bird,Dick Johnson Is Dead,Feels Good Man,My Octopus Teacher
Jeffrey M. Anderson,First Cow,Vitalina Varela,On the Rocks,The Vast of Night,I'm Thinking of Ending Things,Never Rarely Sometimes Always,David Byrne's American Utopia,Da 5 Bloods,Hamilton,She Dies Tomorrow
Anita Katz,Nomadland,Mank,Never Rarely Sometimes Always,First Cow,Collective,City Hall,Da 5 Bloods,Mangrove,The Truth,The Painter and the Thief
Randy Myers,Driveways,Nomadland,Minari,Small Axe,Collective,Bacurau,First Cow,Promising Young Woman,Mank,Wolfwalkers
ScreenAnarchy,Possessor Uncut,First Cow,Nomadland,Mank,Relic,Never Rarely Sometimes Always,I'm Thinking of Ending Things,Another Round,Palm Springs,Lovers Rock
Matt Singer,Da 5 Bloods,David Byrne's American Utopia,Soul,Sound of Metal,Nomadland,The Invisible Man,First Cow,Collective,Minari,Lovers Rock
Tim Grierson,Nomadland,New Order,The Nest,I'm Thinking of Ending Things,She Dies Tomorrow,Days,The Father,Lovers Rock,The Surrogate,Relic
Fionnuala Halligan,Lovers Rock,Never Rarely Sometimes Always,The Nest,Wolfwalkers,Limbo,Nomadland,"Quo Vadis, Aida?",Another Round,New Order,Sweat
Allan Hunter,Limbo,Nomadland,"Quo Vadis, Aida?",Lovers Rock,Wolfwalkers,Minari,Never Rarely Sometimes Always,New Order,Preparations to Be Together for an Unknown Period of Time,Another Round
Wendy Ide,Nomadland,The Assistant,Kala Azar,Limbo,Wolfwalkers,Apples,Mangrove,Sweat,Soul,The Cloud in Her Room
Jonathan Romney,The Disciple,New Order,Lovers Rock,The Trouble With Being Born,I'm Thinking of Ending Things,Days,Never Rarely Sometimes Always,The World to Come,Possessor Uncut,Genus Pan
Screen Rant,Hamilton,Palm Springs,Birds of Prey,The Invisible Man,Emma,Tenet,Da 5 Bloods,Borat Subsequent Moviefilm,Mank,Host
Screen Slate,First Cow,Time,Lovers Rock,Days,Never Rarely Sometimes Always,Martin Eden,"Bloody Nose, Empty Pockets",Vitalina Varela,Bacurau,City Hall
Bruce R. Miller,Nomadland,Sound of Metal,Minari,Hamilton,The Trial of the Chicago 7,Boys State,Soul,Ma Rainey's Black Bottom,First Cow,Mank
Chris Barsanti,Collective,Nomadland,The Vast of Night,The Wild Goose Lake,Never Rarely Sometimes Always,First Cow,The Painter and the Thief,Palm Springs,The Assistant,76 Days
Chuck Bowen,"Bloody Nose, Empty Pockets",City Hall,Yourself and Yours,First Cow,The 40-Year-Old Version,Joan of Arc,On the Rocks,Fourteen,Vitalina Varela,Gunda
Pat Brown,Sorry We Missed You,David Byrne's American Utopia,Lovers Rock,Nomadland,Never Rarely Sometimes Always,Space Dogs,The Wolf House,First Cow,To the Ends of the Earth,The Grand Bizarre
Jake Cole,Vitalina Varela,First Cow,Time,Shirley,Bacurau,Da 5 Bloods,The Grand Bizarre,Martin Eden,She Dies Tomorrow,To the Ends of the Earth
Ben Flanagan,"Bloody Nose, Empty Pockets",Martin Eden,The Invisible Man,Never Rarely Sometimes Always,David Byrne's American Utopia,Zombi Child,Vitalina Varela,City Hall,Bacurau,Time
Ed Gonzalez,City Hall,To the Ends of the Earth,Tommaso,The Cordillera of Dreams,The Grand Bizarre,Welcome to Chechnya,Space Dogs,Ghost Tropic,Time,"Bloody Nose, Empty Pockets"
Christopher Gray,Martin Eden,Lovers Rock,First Cow,To the Ends of the Earth,Time,City Hall,Tesla,The Assistant,The Cordillera of Dreams,Ham on Rye
Wes Greene,David Byrne's American Utopia,Bacurau,Fourteen,Sorry We Missed You,The Wild Goose Lake,Zombi Child,"Bloody Nose, Empty Pockets",The Whistlers,City Hall,The Grand Bizarre
Carson Lund,The Grand Bizarre,"Bloody Nose, Empty Pockets",The Whistlers,Vitalina Varela,Fourteen,First Cow,Ghost Tropic,Tesla,Pahokee,Liberté
Sam C. Mac,Inventing the Future,Coronation,To the Ends of the Earth,Zombi Child,Black Is King,Yourself and Yours,A Family Tour,Da 5 Bloods,A Rainy Day in New York,I've Got a Little Problem
David Robb,To the Ends of the Earth,Vitalina Varela,I'm Thinking of Ending Things,Kajillionaire,The Wild Goose Lake,Nomadland,She Dies Tomorrow,First Cow,The Vast of Night,Ham on Rye
Steven Scaife,First Cow,The Wolf House,The Grand Bizarre,The Twentieth Century,Lovers Rock,Tommaso,Vitalina Varela,Birds of Prey,"Bloody Nose, Empty Pockets",Song Without a Name
Diego Semerene,Liberté,Donbass,This Is Not a Movie,Another Round,Around the World When You Were My Age,The Painter and the Thief,Welcome to Chechnya,Collective,The Grand Bizarre,Dating Amber
Derke Smith,City Hall,The Wolf House,To the Ends of the Earth,The Grand Bizarre,Space Dogs,The Cordillera of Dreams,Lovers Rock,"Bloody Nose, Empty Pockets",The Painter and the Thief,Tesla
Keith Watson,The Grand Bizarre,First Cow,Vitalina Varela,Lovers Rock,The Twentieth Century,"Bloody Nose, Empty Pockets",Collective,Tommaso,Time,Joan of Arc
Ethan Anderton,Soul,Borat Subsequent Moviefilm,One Night in Miami,Minari,Bad Education,Wolfwalkers,Nomadland,Ma Rainey's Black Bottom,Sound of Metal,The Trial of the Chicago 7
Hoai-Tran Bui,Nomadland,Wolfwalkers,Shirley,Sound of Metal,First Cow,The Painter and the Thief,Never Rarely Sometimes Always,Lovers Rock,Palm Springs,I'm Thinking of Ending Things
Jeff Cannata,Sound of Metal,Palm Springs,Kajillionaire,The Nest,Boys State,First Cow,The Vast of Night,Bad Education,The Wolf of Snow Hollow,His House
David Chen,Sound of Metal,Boys State,I'm Thinking of Ending Things,The Invisible Man,Palm Springs,Possessor Uncut,Mangrove,Minari,Borat Subsequent Moviefilm,Hamilton
Chris Evangelista,Possessor Uncut,I'm Thinking of Ending Things,Nomadland,The Invisible Man,Shirley,First Cow,Minari,Da 5 Bloods,Mank,Freaky
Jacob Hall,Palm Springs,Wolfwalkers,Soul,The Painter and the Thief,Sound of Metal,Bacurau,The Invisible Man,The Personal History of David Copperfield,His House,Relic
Devindra Hardawar,Bacurau,Sound of Metal,Lovers Rock,The Nest,Another Round,Martin Eden,Da 5 Bloods,The Invisible Man,Birds of Prey,Borat Subsequent Moviefilm
Ben Pearson,Sylvie's Love,The Vast of Night,Sound of Metal,Mangrove,Da 5 Bloods,Promising Young Woman,The Painter and the Thief,Palm Springs,I'm Thinking of Ending Things,Unpregnant
Michael Atkinson,I'm Thinking of Ending Things,Nomadland,Gunda,The Wolf House,Ham on Rye,The Vast of Night,Beanpole,Bacurau,First Cow,Dick Johnson Is Dead
Chris Hewitt,Nomadland,Collective,Soul,Minari,Let Him Go,Borat Subsequent Moviefilm,Ma Rainey's Black Bottom,The Invisible Man,News of the World,I'm Thinking of Ending Things
Robbie Collin,Uncut Gems,Mank,Portrait of a Lady on Fire,Soul,The Lighthouse,Parasite,Rocks,Make Up,Tenet,Saint Maud
Steve Prokopy,Nomadland,Never Rarely Sometimes Always,First Cow,Small Axe,The Assistant,One Night in Miami,Promising Young Woman,Sound of Metal,Da 5 Bloods,The Nest
Dan Jackson,First Cow,Bacurau,Time,Never Rarely Sometimes Always,Da 5 Bloods,"Bloody Nose, Empty Pockets",Tenet,She Dies Tomorrow,Dick Johnson Is Dead,Shirley
Stephanie Zacharek,First Cow,Collective,The Trial of the Chicago 7,David Byrne's American Utopia,Lovers Rock,Emma,Wolfwalkers,Nomadland,Miss Juneteenth,Bill & Ted Face the Music
TimeOut,Parasite,Rocks,Saint Maud,Portrait of a Lady on Fire,A Hidden Life,Uncut Gems,Lovers Rock,1917,The Lighthouse,Les Miserables
Peter Howell,Nomadland,Never Rarely Sometimes Always,Lovers Rock,Mank,Tenet,Minari,The Trial of the Chicago 7,First Cow,Inconvenient Indian,"Anne at 13,000 ft"
Total Film,Tenet,Parasite,Uncut Gems,Mank,Soul,The Lighthouse,Portrait of a Lady on Fire,The Invisible Man,Saint Maud,The Assistant
Staff consensus [January 2021 issue],Parasite,Uncut Gems,I'm Thinking of Ending Things,David Byrne's American Utopia,The Devil All the Time,The Painted Bird,A Hidden Life,The True History of the Kelly Gang,Rocks,Dark Waters
Asher Luberto,Martin Eden,Nomadland,Lovers Rock,Wolfwalkers,Minari,Crip Camp,Driveways,Fire Will Come,"Bloody Nose, Empty Pockets",Get Duked!
Kaveh Jalinous,First Cow,David Byrne's American Utopia,Minari,Never Rarely Sometimes Always,Nomadland,Time,Sound of Metal,Shithouse,Another Round,Mangrove
Mara Reinstein,Promising Young Woman,Palm Springs,The Prom,Minari,Da 5 Bloods,The Trial of the Chicago 7,The Invisible Man,Bad Education,Nomadland,Taylor Swift: Miss Americana
Brian Truitt,One Night in Miami,The Prom,The Trial of the Chicago 7,Da 5 Bloods,Sound of Metal,Ma Rainey's Black Bottom,His House,Promising Young Woman,The Invisible Man,The Vast of Night
Richard Lawson,The Nest,Minari,Collective,Bad Education,Nomadland,Never Rarely Sometimes Always,Bacurau,Freaky,Let Them All Talk,Shithouse
Peter Debruge,A Sun,Saint Frances,Soul,Herself,Nomadland,Mangrove,Ma Rainey's Black Bottom,"A White, White Day",Antebellum,Borat Subsequent Moviefilm
Owen Gleiberman,Mangrove,Sorry We Missed You,Mank,The Outpost,The Trial of the Chicago 7,Never Rarely Sometimes Always,The Prom,Minari,The Invisible Man,David Byrne's American Utopia
Alissa Wilkinson,The Painter and the Thief,Mayor,Lovers Rock,Dick Johnson Is Dead,Driveways,The Assistant,Another Round,Time,First Cow,Beanpole
Angelica Jade Bastién,Lovers Rock,The Nest,Black Bear,Possessor: Uncut,Another Round,Shirley,Kindred,I'm Your Woman,Miss Juneteenth,Console Wars
Bilge Ebiri,Martin Eden,Time,Da 5 Bloods,Beanpole,Collective,Never Rarely Sometimes Always,Tenet,Eurovision: The Story of Fire Saga,The Old Guard,Mayor
Alison Willmore,Bacurau,Lovers Rock,Time,Dick Johnson Is Dead,The Assistant,"Bloody Nose, Empty Pockets",Beanpole,Martin Eden,Another Round,Relic
Ann Hornaday,Small Axe,Nomadland,First Cow,Miss Juneteenth,The Personal History of David Copperfield,Palm Springs,The Assistant,The Half of It,The Trip to Greece,Host
We Are Movie Geeks,The Trial of the Chicago 7,News of the World,Possessor Uncut,The Painter and the Thief,Promising Young Woman,Nomadland,On the Rocks,Wolfwalkers,Mank,The Outpost
Jack Pooley,Mangrove,Sound of Metal,Nomadland,Never Rarely Sometimes Always,Mank,The Trial of the Chicago 7,Saint Maud,The Devil All the Time,Relic,Wolfwalkers
Michael Glover Smith,Time,The Woman Who Ran,City So Real,Tommaso,Bacurau,Days,Never Rarely Sometimes Always,City Hall,Zombi Child,To the Ends of the Earth
Jordan Ruimy,Never Rarely Sometimes Always,Lovers Rock,"Bloody Nose, Empty Pockets",Da 5 Bloods,First Cow,The Invisible Man,Bad Education,Young Ahmed,Sound of Metal,The Assistant
Alonso Duralde,Collective,Driveways,First Cow,City Hall,Crip Camp,Never Rarely Sometimes Always,New Order,Bacurau,I'm Your Woman,On the Rocks
The Young Folks,Da 5 Bloods,Sound of Metal,Minari,Never Rarely Sometimes Always,Emma,Palm Springs,Birds of Prey,Nomadland,The Invisible Man,Bacurau
