Critic/Publisher,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eigth,Ninth,Tenth,
Germain Lussier,Boyhood,Inherent Vice,Whiplash,The Grand Budapest Hotel,Selma,Nightcrawler,Guardians of the Galaxy,Snowpiercer,Birdman or (The Unexpected Virtue of Ignorance),The Raid 2,
Glenn Kenny,Inherent Vice,Last of the Unjust,Boyhood,The Grand Budapest Hotel,Goodbye to Language,Selma,Birdman or (The Unexpected Virtue of Ignorance),Maps to the Stars,The Immigrant,Under the Skin,
Steve Persall,Birdman or (The Unexpected Virtue of Ignorance),Foxcatcher,Whiplash,Selma,Under the Skin,The Grand Budapest Hotel,Jodorowsky's Dune AND Life Itself,Gone Girl,Nightcrawler,The LEGO Movie,
Matt Brennan,Under the Skin,Boyhood,The Grand Budapest Hotel,Ida,The Immigrant,Snowpiercer,A Most Wanted Man,Life Itself,Obvious Child,The One I Love,
Tom Brueggemann,Goodbye to Language,Ida,"Two Days, One Night",Leviathan,Snowpiercer,Locke,Venus in Fur,Winter Sleep,Nightcrawler,Gone Girl,
Beth Hanna,"Two Days, One Night",Ida,Starred Up,Gone Girl,Jimmy P.,Red Army,The Homesman,The Grand Budapest Hotel,Only Lovers Left Alive,Godzilla,
Ryan Lattanzio,Gone Girl,Force Majeure,The Congress,The Blue Room,The Immigrant,Inherent Vice,Ida,Boyhood,Under the Skin,Maps to the Stars,
Matt Mueller,Boyhood,Force Majeure,Under the Skin,Whiplash,Stranger by the Lake,The Grand Budapest Hotel,The Two Faces of January,Birdman or (The Unexpected Virtue of Ignorance),The Babadook,Mommy,
Anne Thompson,Birdman or (The Unexpected Virtue of Ignorance),Boyhood,Mr. Turner,Nymphomaniac,Only Lovers Left Alive,Ida,Selma,The Grand Budapest Hotel,Wild Tales,Beyond the Lights,
Susan Wloszczyna,Ida,Mr. Turner,Only Lovers Left Alive,Boyhood,Le Week-end,Force Majeure,"Two Days, One Night",The Drop,The Babadook,Into the Woods,
Richard Corliss,The Grand Budapest Hotel,Boyhood,The LEGO Movie,Lucy,Goodbye to Language,Jodorowsky's Dune,Nightcrawler,Citizenfour,Wild Tales,Birdman or (The Unexpected Virtue of Ignorance),
Time Out London,12 Years a Slave,Boyhood,Calvary,Under the Skin,Nightcrawler,The Grand Budapest Hotel,"Two Days, One Night",Mr. Turner,Ida,Pride,
Joshua Rothkopf,Boyhood,Nightcrawler,The Babadook,Gone Girl,Under the Skin,Love Is Strange,We Are the Best!,Snowpiercer,The Grand Budapest Hotel,Inherent Vice,
Linda Barnard,Boyhood,The Grand Budapest Hotel,Whiplash,Selma,Snowpiercer,Gone Girl,Force Majeure,Ida,We Are the Best!,Only Lovers Left Alive,
Total Film,Boyhood,Guardians of the Galaxy,The Wolf of Wall Street,The Grand Budapest Hotel,The Babadook,The LEGO Movie,12 Years a Slave,Interstellar,Under the Skin,Captain America: The Winter Soldier,
TV Guide staff,Boyhood,Gone Girl,Birdman or (The Unexpected Virtue of Ignorance),Whiplash,The Grand Budapest Hotel,Guardians of the Galaxy,The Imitation Game,Obvious Child,Interstellar,The Theory of Everything,
Twitch,Boyhood,The Grand Budapest Hotel,Nightcrawler,Under the Skin,The Raid 2,Force Majeure,Jodorowsky's Dune,Only Lovers Left Alive,Whiplash,Interstellar,
Mara Reinstein,Boyhood,Whiplash,Gone Girl,Foxcatcher,The Theory of Everything,Nightcrawler,Wild,American Sniper,The Fault in Our Stars,Edge of Tomorrow,
Richard Lawson,Love Is Strange,Mommy,Force Majeure,Citizenfour,Boyhood,Selma,Snowpiercer,Mr. Turner,Pride,X-Men: Days of Future Past,
Justin Chang,Boyhood,Under the Skin,The Grand Budapest Hotel,Winter Sleep,Foxcatcher,Bird People,Gone Girl,Selma,Mr. Turner,Interstellar,
Peter Debruge,Calvary,The Grand Budapest Hotel,Birdman or (The Unexpected Virtue of Ignorance),Love Is Strange,Le Week-end,While We're Young,Li’l Quinquin,Force Majeure,War of Lies,Class Enemy,
Scott Foundas,Goodbye to Language,Citizenfour,Winter Sleep,Inherent Vice,Foxcatcher,The Immigrant,Gone Girl,Interstellar,Selma,American Sniper,
Simon Abrams,Under the Skin,The Grand Budapest Hotel,Abuse of Weakness,The Raid 2,"20,000 Days on Earth",Calvary,The Dance of Reality,Alan Partridge: Alpha Papa,Venus in Fur,Journey to the West: Conquering the Demons,
Sherilyn Connelly,God Help the Girl,Snowpiercer,It Felt Like Love,My Little Pony: Equestria Girls - Rainbow Rocks,Noah,Jodorowsky's Dune,A Girl Walks Home Alone at Night,Patema Inverted,Nymphomaniac,The Book of Life,
Serena Donadoni,The Lunchbox,The Retrieval,Violette,The Immigrant,"Like Father, Like Son",Frank,Ida,Hateship Loveship,The Amazing Catfish,Belle,
Aaron Hillis,Under the Skin,Goodbye to Language,Ida,Force Majeure,The Immigrant,Only Lovers Left Alive,Stranger by the Lake,The Grand Budapest Hotel,See You Next Tuesday,Vic + Flo Saw a Bear,
Calum Marsh,Listen Up Philip,Goodbye to Language,Force Majeure,Inherent Vice,"Two Days, One Night",The Strange Little Cat,Under the Skin,"Norte, The End of History",The Immigrant,Actress,
Michael Nordine,The Immigrant,Only Lovers Left Alive,The Grand Budapest Hotel,It Felt Like Love,Thursday Till Sunday,Enemy,Boyhood,Ilo Ilo,A Spell to Ward Off the Darkness,Manakamana,
Alan Scherstuhl,Northern Light,Under the Skin,The Immigrant,Winter Sleep,Get on Up,The Babadook,Antarctica,She's Beautiful When She's Angry,Force Majeure,Big Men,
Zachary Wigon,Ellie Lumme,Level Five,Goodbye to Language,P'tit Quinquin,Under the Skin,Stranger by the Lake,Nymphomaniac,Memphis,Love Is Strange,Citizenfour,
Stephanie Zacharek,Under the Skin,Boyhood,Only Lovers Left Alive,Mr. Turner,The Immigrant,"20,000 Days on Earth AND Pulp: A Film About Life, Death & Supermarkets AND Revenge of the Mekons",Love Is Strange,The Missing Picture,John Wick,Top Five,
David Edelstein,Boyhood,Selma,The Babadook,Whiplash,Tales of the Grim Sleeper,Only Lovers Left Alive,Citizenfour,Mr. Turner,"Two Days, One Night",The Immigrant,
Ann Hornaday,Boyhood,Birdman or (The Unexpected Virtue of Ignorance),Citizenfour,Force Majeure,Foxcatcher,Under the Skin,Selma,Edge of Tomorrow,Beyond the Lights,Locke,
Alonso Duralde,Boyhood,Locke,We Are the Best!,Under the Skin,The Babadook,The Trip to Italy,The Raid 2,Obvious Child,A Most Violent Year,Selma,
Inkoo Kang,We Are the Best!,The Boxtrolls,Only Lovers Left Alive,Selma,The Tale of the Princess Kaguya,Belle,Neighbors,Nightcrawler,The Homesman,Beyond the Lights,Le Week-end
James Rocchi,Selma,Boyhood,Gone Girl,Nightcrawler,Force Majeure,Dear White People,Blue Ruin,Edge of Tomorrow,The One I Love,The LEGO Movie,
Yahoo! Movies,Boyhood,Whiplash,Nightcrawler,Birdman or (The Unexpected Virtue of Ignorance),The LEGO Movie,The Overnighters,Gone Girl,Snowpiercer,Force Majeure,Dear White People,
