Critic/Publisher,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eigth,Ninth,Tenth
Sean P. Means,Moonlight,La La Land,Krisha,Kubo and the Two Strings,Weiner,Rogue One: A Star Wars Story,The Birth of a Nation,Ghostbusters,Arrival,The Handmaiden
Kiko Martinez,Manchester by the Sea,Lion,Gleason,Hell or High Water,La La Land,Moonlight,The Lobster,The Witch,Christine,Kubo and the Two Strings
Peter Hartlaub,Hell or High Water,Manchester by the Sea,Moonlight,Arrival,The Witch,Weiner,I Am Not Your Negro,The Jungle Book,La La Land,Popstar: Never Stop Never Stopping
Mick LaSalle,Knight of Cups,Hacksaw Ridge,La La Land,Fences,Elle,Manchester by the Sea,Moonlight,The Girl on the Train,Arrival,Mike and Dave Need Wedding Dates
Jeffrey M. Anderson,Cemetery of Splendor,Paterson,Arrival,Sully,Moonlight,Everybody Wants Some!!,Certain Women,Silence,O.J.: Made in America,Loving
Anita Katz,I Am Not Your Negro,The Salesman,Toni Erdmann,Jackie,Moonlight,13th,The Club,O.J.: Made in America,Manchester by the Sea,Don't Think Twice
Randy Myers,Moonlight,Embrace of the Serpent,Manchester by the Sea,La La Land,Sing Street,The Handmaiden,Hell or High Water,The Witch,Arrival,Kubo and the Two Strings
Staff,Toni Erdmann,Elle,The Wailing,Moonlight,Arrival,The Handmaiden,American Honey,O.J.: Made in America,The Nice Guys,The Neon Demon
Matt Singer,O.J.: Made in America,Toni Erdmann,Manchester by the Sea,Moonlight,Sing Street,La La Land,Krisha,The Handmaiden,Demon,"Hail, Caesar!"
Erin Whitney,Moonlight,The Lobster,Jackie,Krisha,The Handmaiden,Manchester by the Sea,Cameraperson,Elle,La La Land,20th Century Women
Robert Horton,Aquarius,Our Little Sister,The Fits,Cemetery of Splendour,Things to Come,Everybody Wants Some!!,Sully,Paterson,Green Room,Aferim!
Sherilyn Connelly,Lemonade,The Neon Demon,The Incident,Ghostbusters,Tikkun,April and the Extraordinary World,Approaching the Unknown,The Fits,Eisenstein in Guanajuato,The Witness
Roger Friedman,Manchester by the Sea,Silence,La La Land,Lion,Hell or High Water,Fences,20th Century Women,Moonlight,Florence Foster Jenkins,Sully
Bruce R. Miller,La La Land,Moonlight,Manchester by the Sea,Captain Fantastic,The Lobster,Jackie,Arrival,Hell or High Water,Deadpool,Kubo and the Two Strings
Staff,Toni Erdmann,O.J.: Made in America,Happy Hour,Cemetery of Splendor,Elle,Paterson,Moonlight,Cameraperson,Manchester by the Sea,The Treasure
Ethan Anderton,La La Land,Moonlight,Sing Street,Hunt for the Wilderpeople,Arrival,Don't Think Twice,Popstar: Never Stop Never Stopping,The Edge of Seventeen,Indignation,"Life, Animated"
David Chen,The Handmaiden,O.J.: Made in America,Moonlight,Tickled,Weiner,Swiss Army Man,Tower,Green Room,Moana,Christine
Jack Giroux,20th Century Women,The Lobster,Arrival,La La Land,Manchester by the Sea,Little Sister,Everybody Wants Some!!,The Invitation,Jackie,Hell or High Water
Jacob Hall,Moonlight,La La Land,O.J.: Made in America,Arrival,The Witch,Kubo and the Two Strings,Manchester by the Sea,Green Room,Sing Street,Jackie
Angie Han,Moonlight,The Handmaiden,Love & Friendship,Manchester by the Sea,Hunt for the Wilderpeople,Moana,Arrival,Paterson,The Lobster,Zootopia
Calvin Wilson,Arrival,Doctor Strange,Elle,Hell or High Water,Jackie,La La Land,Loving,Manchester by the Sea,Moonlight,Sing Street
Steve Persall,Moonlight,Hell or High Water,La La Land,Manchester by the Sea,American Honey,The Witch,O.J.: Made in America,Sing Street,Arrival,The Lobster
Robbie Collin,The Assassin,American Honey,Your Name,Arrival,The Neon Demon,The Hateful Eight,Paterson,The Witch,Everybody Wants Some!!,Julieta
Tom Shone,La La Land,Manchester by the Sea,Loving,Arrival,Love & Friendship,Weiner,Midnight Special,A Bigger Splash,Moonlight,20th Century Women
Matt Patches,Wiener-Dog,Moonlight,Everybody Wants Some!!,The Lobster,Jackie,Mountains May Depart,Krisha,Sing Street,Weiner,Paterson
Stephanie Zacharek,Moonlight,Paterson,Loving,Elle,Silence,Manchester by the Sea,Tower,La La Land,Everybody Wants Some!!,The Shallows
Time Out London,Son of Saul,Spotlight,American Honey,Mustang,"I, Daniel Blake",The Nice Guys,Embrace of the Serpent,Anomalisa,A Bigger Splash,Love & Friendship
Joshua Rothkopf,Manchester by the Sea,Silence,La La Land,Everybody Wants Some!!,Toni Erdmann,Jackie,Moonlight,De Palma,A Bigger Splash,The Eyes of My Mother
Peter Howell,Moonlight,La La Land,Manchester by the Sea,Arrival,Jackie,Toni Erdmann,Paterson,Hell or High Water,Operation Avalanche,Love & Friendship
Total Film/GamesRadar+,Rogue One: A Star Wars Story,Deadpool,10 Cloverfield Lane,Captain America: Civil War,Arrival,Assassin's Creed,Kubo and the Two Strings,The Witch,Doctor Strange,Star Trek Beyond
Michael Smith,La La Land,Jackie,Moonlight,Deadpool,Hell or High Water,Love & Friendship,Zootopia,The Accountant,The Nice Guys,Equity
Staff,Nocturnal Animals,The Revenant,Son of Saul,The Big Short,Spotlight,A Bigger Splash,Paterson,"I, Daniel Blake",Julieta,Mustang
Vince Mancini,La La Land,Zootopia,Toni Erdmann,Don't Think Twice,American Honey,Hunt for the Wilderpeople,Weiner,I Am Not Your Negro,Moonlight,Green Room
Keith Phipps,Moonlight,Paterson,Manchester by the Sea,Jackie,Arrival,La La Land,Silence,Toni Erdmann,Little Men,Certain Women
Mike Ryan,O.J.: Made in America,La La Land,Moonlight,20th Century Women,Everybody Wants Some!!,Sing Street,Popstar: Never Stop Never Stopping,Captain America: Civil War,Hidden Figures,Rogue One: A Star Wars Story
Mara Reinstein,La La Land,Manchester by the Sea,Arrival,Moonlight,Patriots Day,O.J.: Made in America,Zootopia,Hell or High Water,Nocturnal Animals,Bad Moms
Chris Knight,Arrival,Paterson,Toni Erdmann,Manchester by the Sea,La La Land,Love & Friendship,Hell or High Water,Moana,Operation Avalanche,Old Stone
Richard Lawson,The Meddler,Moonlight,Fire at Sea,Things to Come,American Honey,Manchester by the Sea,Jackie,The Edge of Seventeen,Mountains May Depart,The Lobster
Peter Debruge,Hell or High Water,Moonlight,Miles Ahead,Toni Erdmann,Christine,Elle,Fences,La La Land,Your Name,Paterson
Owen Gleiberman,La La Land,Hell or High Water,Manchester by the Sea,I Am Not Your Negro,Jackie,Sully,Don't Think Twice,Snowden,Deadpool,Patriots Day
Tasha Robinson,La La Land,The Handmaiden,American Honey,The Lobster,Hell or High Water,Moana,The Witch,Queen of Katwe,Moonlight,Hunt for the Wilderpeople
John Powers,Toni Erdmann,O.J.: Made in America,Moonlight,20th Century Women,La La Land,The Handmaiden,I Am Not Your Negro,A Bigger Splash,Arrival,Aquarius
Alissa Wilkinson,Moonlight,Cameraperson,O.J.: Made in America,Toni Erdmann,Paterson,Manchester by the Sea,The Fits,Silence,Under the Shadow,Things to Come
David Edelstein,La La Land,Hell or High Water,20th Century Women,Krisha,O.J.: Made in America,Moonlight,The Witness,The Handmaiden,Tower,Zero Days
Tricia Olszewski,O.J.: Made in America,Cameraperson,13th,Deadpool,Weiner,La La Land,The Beatles: Eight Days a Week — The Touring Years,Krisha,Newtown,Hell or High Water
Ann Hornaday,Moonlight,Manchester by the Sea,Hell or High Water,The Confirmation,O.J.: Made in America,Cameraperson,La La Land,Lemonade,13th,Southside With You
Staff,Arrival,Manchester by the Sea,Captain America: Civil War,Zootopia,Hacksaw Ridge,Rogue One: A Star Wars Story,10 Cloverfield Lane,Deadpool,La La Land,Nocturnal Animals
Rod Pocowatchit,La La Land,Arrival,Hacksaw Ridge,Rogue One: A Star Wars Story,Hell or High Water,Fences,Manchester by the Sea,Moonlight,Deadpool,Gleason
Staff,Moonlight,American Honey,20th Century Women,La La Land,The Invitation,Green Room,13th,Arrival,Rogue One: A Star Wars Story,Jackie
Alonso Duralde,Moonlight,Take Me to the River,La La Land,The Lobster,Love & Friendship,The Handmaiden,Julieta,Certain Women,Things to Come,Queen of Katwe
Staff,Moonlight,Manchester by the Sea,La La Land,Hell or High Water,Zootopia,Arrival,O.J.: Made in America,Deadpool,Weiner,Moana
